00m: 0 Edges, 0 Instrs
01m: 50 Edges, 558 Instrs
02m: 50 Edges, 558 Instrs
03m: 50 Edges, 558 Instrs
04m: 50 Edges, 558 Instrs
05m: 50 Edges, 558 Instrs
06m: 50 Edges, 558 Instrs
07m: 50 Edges, 558 Instrs
08m: 50 Edges, 558 Instrs
09m: 50 Edges, 558 Instrs
10m: 50 Edges, 558 Instrs
11m: 50 Edges, 558 Instrs
12m: 50 Edges, 558 Instrs
13m: 50 Edges, 558 Instrs
14m: 50 Edges, 558 Instrs
15m: 50 Edges, 558 Instrs
16m: 50 Edges, 558 Instrs
17m: 50 Edges, 558 Instrs
18m: 50 Edges, 558 Instrs
19m: 50 Edges, 558 Instrs
20m: 50 Edges, 558 Instrs
21m: 50 Edges, 558 Instrs
22m: 50 Edges, 558 Instrs
23m: 50 Edges, 558 Instrs
24m: 50 Edges, 558 Instrs
25m: 50 Edges, 558 Instrs
26m: 50 Edges, 558 Instrs
27m: 50 Edges, 558 Instrs
28m: 51 Edges, 558 Instrs
